Object,Teff,Lum,Distance,Parallax,Av,logg,[Fe/H]
HIP_111043,3500.743342228234,1427.9783011468464,105.08077878684178,9.88,0.0040687842424108,0.2357241756491275,-0.07253622227751
HIP_56211,3742.1390474773934,810.7484982545528,102.14504636328134,9.79,0.0036138587823991,0.5118571013734359,-0.0952811836624194
HIP_67419,2123.3225348428823,8542.283751301235,104.27528509789929,9.59,0.0090003630461534,-0.499,-0.0495033201095767
HIP_8837,3492.441364377737,1163.1893453930968,104.82180335415455,9.54,0.0033430919099192,0.2881156776713949,-0.0756412183839479
HIP_89931,4338.569472301751,1414.9458659340698,107.85845801436643,9.38,0.0183701562862378,0.660902665484131,-0.0535972613635933
HIP_13654,3258.7137550046464,1431.896620522596,107.75862379037252,9.28,0.0099035603267561,0.3282247471669341,-0.0338789835300453
HIP_80704,3222.3552095663035,4080.15315174497,110.88935274785676,9.21,0.0055652434491451,-0.1504251489103962,-0.0738943492283418
HIP_84345,3261.19376052171,15159.685886365536,110.25358695112728,9.07,0.0177887446686561,-0.4757702662218115,-0.0273939303660939
HIP_21763,3555.715351982508,1433.2550121962795,131.03037333919616,8.85,0.0044039116560463,0.2714559057584589,-0.0440792565165895
HIP_68815,3154.7158556524664,7861.986804825598,113.12216999309126,8.84,0.0104644282117042,-0.3543931127567008,-0.1096898080932408
HIP_107516,3003.1509579066187,7908.628162894178,123.47334365339483,8.8,0.0073146542095338,-0.2233984466954854,-0.00476741168326
HIP_67627,3533.1102948635817,996.0679135489348,121.50303356573497,8.78,0.0038710068847191,0.3460531102332442,-0.1094309444405153
HIP_84380,4207.381188403815,1145.448404374182,114.16508776747396,8.66,0.0072504805903087,0.7783439496304521,-0.0682958054710043
HIP_101810,3207.617399166338,1837.853293990761,117.61751612857688,8.56,0.0114476353173368,0.1934580283742679,-0.0368527869027037
HIP_29655,3516.886370438151,3164.253285612948,117.92453466763772,8.48,0.0075949489635473,-0.0011518090540807,-0.0451101173782746
HIP_112961,3621.249356726185,1381.5357374528528,112.26797279636368,8.47,0.0051544043539565,0.388368047144926,-0.0148076047524617
HIP_53449,3305.3441048471723,1427.3788239878634,118.24005129772388,8.39,0.0032258586271363,0.4026332007465987,-0.0127391742074667
HIP_82273,4199.931556585652,3829.453841627336,119.76047357065929,8.35,0.0105936441597941,0.2305199441108723,-0.1113640489647692
HIP_9640,4292.884594600182,2929.666560627817,120.4819249421562,8.3,0.0101133303136241,0.3911775084564359,-0.0809549387794878
HIP_97278,4141.439327504486,2184.206322870365,123.41312354055457,8.26,0.0182913928109012,0.4436473145093824,-0.022726189134479
HIP_55219,4174.208238928695,988.874961353502,122.73364073430436,8.17,0.0033041754145052,0.7392148299966617,-0.0669146920868444
HIP_35205,3651.39914790052,854.9748180862669,130.86610229145094,8.05,0.0040630421118235,0.5339808903359287,-0.0611221173048795
HIP_65835,2238.5713901370764,7907.971167549805,137.64398043316348,8.05,0.0110257221288881,-0.499,-0.0543497436830963
HIP_118188,6200.285874316469,2.281916694327325,266.4140423950802,11.13,0.0310071840497363,4.22275199881447,-0.2052621160152107
HIP_106044,3335.37131678313,1655.5669709133883,126.26262504632906,7.92,0.0053454870979697,0.010885222254946,-0.1177238850558287
HIP_51839,3851.246177405119,967.4865963046152,128.04097404949593,7.81,0.0103605800626876,0.5836333098525173,-0.124865313931841
HIP_108924,3472.9152520687785,923.5542161868992,130.03901073590484,7.69,0.009496065208768,0.358373666998002,-0.1154727826756403
HIP_57800,3110.2423023758456,1865.164088142906,200.0686150716965,7.57,0.0055622199461326,0.0054560859541545,-0.0388673939761088
HIP_95947,4379.014960024506,1220.770789200444,120.49019080387912,7.51,0.0130551544411596,0.7812008915159598,-0.0564318861580549
HIP_63642,2524.6158362715505,5073.198538514443,190.30970577526665,7.38,0.0052229514219063,-0.499,-0.0171992746141871
HIP_60781,3411.738006982341,1309.9217696885923,143.9426376357276,7.36,0.0217850117693352,0.1978493046610188,-0.1227519877104748
HIP_78574,3107.3364892043173,4383.551547411737,136.98629779067633,7.3,0.0052526733822952,-0.3586479770020512,-0.100239128385165
HIP_72370,4180.104027092457,1011.5078748924136,145.015652054839,7.3,0.0150721447070385,0.6822075908314202,-0.1414224213293754
HIP_1170,3693.836368620396,1025.9381367568662,139.2128754371497,7.29,0.0041295688760443,0.3577698713591299,-0.0451379245195633
HIP_98688,3461.438684957102,2029.1808716452103,137.9461081293091,7.27,0.019865964959093,0.0774676487269561,-0.064056453650854
HIP_111795,3470.2811954542994,1245.6192817996905,138.31258608048364,7.23,0.0116453709559162,0.244293391405038,-0.1152168128020338
HIP_2210,3563.869194984436,1481.1278106673135,163.509651658151,7.22,0.0041555835009873,0.1788681490937644,-0.0888361643758884
HIP_14456,3554.1706120222807,1029.9652332754108,165.26863012831214,7.15,0.0100988706133279,0.4372711399383702,-0.0175274594213955
HIP_104234,3766.2411441221775,840.5485069064509,140.16486238048455,7.15,0.0090274034918266,0.6341122978798923,-0.0591797899466084
HIP_73199,3400.074370807852,2588.695197087944,140.8450723143708,7.1,0.0042980009330886,-0.096451714512451,-0.1278986924909324
HIP_69269,3659.9595230072737,753.1265541532409,141.24293937513858,7.08,0.017580244473814,0.5866715781516665,-0.0396261772138487
HIP_64569,2884.199883788824,10875.546667348965,162.93905956076495,6.99,0.0065259565982336,-0.499,-0.0079791859448648
HIP_13328,3868.1368338472384,610.2959071512491,129.1178930512578,6.98,0.0183741072705936,0.6471415343809186,-0.0740339461348409
HIP_45058,3126.9991278648376,5338.5708375783615,147.97992040922776,6.97,0.003617237990793,-0.3858474419346764,-0.0759872601366286
HIP_90098,3976.507387646052,843.917877653514,153.75755468171954,6.96,0.0124809158610709,0.6594226563384722,-0.1343035975093325
HIP_18744,3499.9878638307564,1767.9722618145472,142.98123443696602,6.95,0.0041158263618865,0.1060945220661935,-0.1257638866152805
HIP_28328,4658.604919910431,627.3858695636018,139.6701631703448,6.91,0.0036815301902411,1.062090470359192,-0.0946411150880499
HIP_98608,3288.3271143182355,4337.72483234526,145.77259191505237,6.86,0.0071765352230662,-0.1785615762363264,-0.1247894616444462
HIP_9372,3363.782349508256,1813.9300824056136,156.0637882612481,6.85,0.0054993814350709,0.0934528286919746,-0.0231277552986455
HIP_118131,3582.5618374347687,1363.2081902273046,149.6991410863244,6.85,0.0082351881250774,0.2896775682215793,-0.0635148654183594
HIP_17593,3735.8562560984874,1203.570353210902,155.43719039607788,6.78,0.0074527608854066,0.4899976009871221,-0.0325755957796023
HIP_83081,3948.1134688854218,3219.303938422756,159.75769357932063,6.71,0.0294279858451049,0.1491026811156404,-0.1316635023012726
HIP_24169,3199.837728384882,5323.623141391953,159.80608252732995,6.71,0.0063505580333159,-0.2779759685036982,-0.0328023312728439
HIP_51979,3700.331934127025,772.8668178848726,149.47682981268568,6.69,0.0049229952923028,0.5939424477078021,-0.0687102534071831
HIP_45496,3788.121522692964,1242.9073435532655,149.700602649373,6.68,0.0089166315787534,0.4416985094542527,-0.1256489106889888
HIP_23015,4071.890499033034,3608.399906175318,145.2967198509357,6.61,0.0467694320416808,0.3232045735068265,-0.0793204935383094
HIP_56779,3415.1168981939554,1802.2716699798289,161.68487061784248,6.56,0.0037195310059791,0.1449247168322527,-0.0228733835622809
HIP_29651,4371.532715857029,1029.0553162974682,167.0314841244141,6.55,0.0063338830515826,0.8579803651582205,-0.0182538247927362
HIP_27989,3523.2989840582013,69238.08220100479,152.67175127941593,6.55,0.0100071404959208,-0.4233960807103321,-0.0196795017824104
HIP_22626,3537.7595696406206,741.2528221241565,152.90519966863462,6.54,0.0141220086955209,0.4423479999874762,-0.1360020697193124
HIP_36547,3499.70151655376,1400.5088814827595,152.17825877943025,6.53,0.0061601738429228,0.148828429067672,-0.1497167550782168
HIP_45902,3724.0271669230415,1399.21166499113,185.23263240025943,6.49,0.0062970784846598,0.2386887856001101,-0.0809230297091189
HIP_84780,3313.1152304007264,1589.5452763467745,158.41015620344723,6.43,0.0831841304881611,0.3940630589406053,-0.0059137537677283
HIP_25737,3829.817136938218,752.0749416672307,153.03766334901448,6.42,0.0094768153543169,0.7670665189992221,-0.0029170287523052
HIP_66803,3665.798190515488,945.0942506468592,165.39291673661043,6.4,0.0112663852182576,0.5120262584990942,-0.0250210403870231
HIP_42502,3167.340512719966,2625.985917630015,160.81574841755778,6.4,0.004499065286848,-0.0621050947810699,-0.0477931280321761
HIP_69038,3431.8539328780025,1981.4324593517647,163.44249542516638,6.36,0.0044615531697278,0.0038815797945472,-0.1127574986156324
HIP_66666,3241.9882134348154,3453.9730297292663,157.480317325747,6.35,0.0221513593208094,-0.1702785776655586,-0.1199696450837939
HIP_46806,2322.962326046545,4527.765657981652,157.7287028284716,6.34,0.0124582979455505,-0.499,-0.1393632420871819
HIP_72432,3316.0115206521004,2095.9113451448734,164.0949876286991,6.34,0.0347048926078586,-0.0348115747924291,-0.0976058699444125
HIP_17296,3552.346486549359,1270.197523843232,159.23566346990896,6.28,0.0215877108844899,0.1535353450968903,-0.1412064258237812
HIP_116264,3413.6052916814515,1854.308438109807,164.4769388370966,6.27,0.0091539859149229,0.0027554304087527,-0.0628565508629256
